"Color Name , Hex Code#RRGGBB"
"lightsalmon , #FFA07A"
"salmon , #FA8072"
"darksalmon , #E9967A"
"lightcoral , #F08080"
"coral , #FF7F50"
"tomato , #FF6347"
"orangered , #FF4500"
"gold , #FFD700"
"orange , #FFA500"
"darkorange , #FF8C00"
"lightyellow , #FFFFE0"
"lemonchiffon , #FFFACD"
"papayawhip , #FFEFD5"
"moccasin , #FFE4B5"
"peachpuff , #FFDAB9"
"palegoldenrod , #EEE8AA"
"khaki , #F0E68C"
"darkkhaki , #BDB76B"
"yellow , #FFFF00"
"lawngreen , #7CFC00"
"chartreuse , #7FFF00"
"limegreen , #32CD32"
"lime , #00FF00"
"forestgreen , #228B22"
"green , #008000"
"powderblue , #B0E0E6"
"lightblue , #ADD8E6"
"lightskyblue , #87CEFA"
"skyblue , #87CEEB"
"deepskyblue , #00BFFF"
"lightsteelblue , #B0C4DE"
"dodgerblue , #1E90FF"
